Date,Time,Test_ID,Laser experimental,Pressure,dac_bits,mass,Unity theoretical,time,Experimental_1,slide_1,frecuencia,Force
45681,,6.909090909090909,0.0029727272727272727,5.995767648485693,606.8055448388666,0.42400000000000004,0.0,0.0,0.0029727272727272727,0.0,0.05Hz,32.72962649772493
45681,,6.909090909090909,0.002990909090909091,6.071214412485063,716.1582477448324,0.42400000000000004,0.0011818181818181817,0.20043636363637193,0.002990909090909091,0.0011818181818181817,0.05Hz,33.141474412943104
45681,,6.909090909090909,0.0018545454545454546,6.067482274402272,687.836401168186,0.42400000000000004,0.0011272727272727272,0.39960909090909397,0.0018545454545454546,0.0011272727272727272,0.05Hz,33.12110146111289
45681,,6.909090909090909,0.0008909090909090908,6.071285101569629,688.217676869369,0.42400000000000004,0.0011727272727272726,0.5994090909090967,0.0008909090909090908,0.0011727272727272726,0.05Hz,33.14186028969333
45681,,6.909090909090909,0.0013363636363636364,6.08283346802697,698.6214702684478,0.42400000000000004,0.0013636363636363637,0.7994181818181946,0.0013363636363636364,0.0013636363636363637,0.05Hz,33.204900377796655
45681,,6.909090909090909,0.0013272727272727273,6.1021325889084865,700.468303559285,0.42400000000000004,0.001654545454545455,0.9998181818181862,0.0013272727272727273,0.001654545454545455,0.05Hz,33.31025019373657
45681,,6.909090909090909,0.0018636363636363633,6.128877843940959,703.0196040047665,0.42400000000000004,0.002063636363636364,1.200090909090911,0.0018636363636363633,0.002063636363636364,0.05Hz,33.456246879919085
45681,,6.909090909090909,0.002190909090909091,6.163064045679056,706.2745591914967,0.42400000000000004,0.0025818181818181812,1.399663636363636,0.002190909090909091,0.0025818181818181812,0.05Hz,33.64286211917813
45681,,6.909090909090909,0.003036363636363637,6.20480499575512,710.2440397763855,0.42400000000000004,0.0032454545454545457,1.5997363636363802,0.003036363636363637,0.0032454545454545457,0.05Hz,33.87071713053682
45681,,6.909090909090909,0.003881818181818181,6.253518151025193,714.8728537592636,0.42400000000000004,0.004018181818181818,1.7998636363636458,0.003881818181818181,0.004018181818181818,0.05Hz,34.13663193427639
45681,,6.909090909090909,0.0048727272727272725,6.309525701842936,720.1913792889729,0.42400000000000004,0.004881818181818181,2.000390909090909,0.0048727272727272725,0.004881818181818181,0.05Hz,34.442365299341
45681,,6.909090909090909,0.006145454545454546,6.372314193917351,735.4419226627364,0.42400000000000004,0.005854545454545456,2.2007727272727546,0.006145454545454546,0.005854545454545456,0.05Hz,34.7851143874365
45681,,6.909090909090909,0.00699090909090909,6.441100754289045,741.9701980981642,0.42400000000000004,0.006927272727272727,2.399981818181821,0.00699090909090909,0.006927272727272727,0.05Hz,35.16060566078452
45681,,6.909090909090909,0.008181818181818182,6.516300290939788,758.3968976101859,0.42400000000000004,0.008090909090909091,2.5997636363636407,0.008181818181818182,0.008090909090909091,0.05Hz,35.571104014235964
45681,,6.909090909090909,0.00919090909090909,6.597464022661938,766.0993357506178,0.42400000000000004,0.009345454545454544,2.799754545454546,0.00919090909090909,0.009345454545454544,0.05Hz,36.014159646169674
45681,,6.909090909090909,0.010372727272727273,6.684195565927985,774.3301592065659,0.42400000000000004,0.010709090909090911,2.9992909090909166,0.010372727272727273,0.010709090909090911,0.05Hz,36.48760878280957
45681,,6.909090909090909,0.011863636363636364,6.776421565181509,783.0824065357251,0.42400000000000004,0.01213636363636364,3.1995000000000213,0.011863636363636364,0.01213636363636364,0.05Hz,36.99105099169998
45681,,6.909090909090909,0.013409090909090905,6.873454656086099,792.2908468625706,0.42400000000000004,0.013618181818181817,3.3994090909090975,0.013409090909090905,0.013618181818181817,0.05Hz,37.520734096419545
45681,,6.909090909090909,0.014963636363636361,6.975229458326368,801.9492755951724,0.42400000000000004,0.015227272727272728,3.5998090909091047,0.014963636363636361,0.015227272727272728,0.05Hz,38.0763011996653
45681,,6.909090909090909,0.016409090909090908,7.081055742730755,811.9921899851487,0.42400000000000004,0.016863636363636362,3.7998181818181873,0.016409090909090908,0.016863636363636362,0.05Hz,38.6539844864872
45681,,6.909090909090909,0.018254545454545454,7.191268778318015,822.4514070623795,0.42400000000000004,0.01858181818181818,4.001636363636371,0.018254545454545454,0.01858181818181818,0.05Hz,39.255614119493835
45681,,6.909090909090909,0.02008181818181818,7.303394257244549,833.0921150125076,0.42400000000000004,0.02031818181818182,4.200127272727281,0.02008181818181818,0.02031818181818182,0.05Hz,39.86768337589186
45681,,6.909090909090909,0.022027272727272725,7.418862414917191,844.0500431756413,0.42400000000000004,0.02210909090909091,4.399945454545456,0.022027272727272725,0.02210909090909091,0.05Hz,40.497999608036125
45681,,6.909090909090909,0.023709090909090905,7.536767680335168,855.2392528638076,0.42400000000000004,0.023945454545454544,4.599781818181839,0.023709090909090905,0.023945454545454544,0.05Hz,41.14161949551127
45681,,6.909090909090909,0.02560909090909091,7.656796716761201,866.6300084206381,0.42400000000000004,0.0258,4.79997272727273,0.02560909090909091,0.0258,0.05Hz,41.79683259939099
45681,,6.909090909090909,0.027581818181818187,7.777781484605878,878.111462889098,0.42400000000000004,0.02769090909090909,4.999381818181818,0.027581818181818187,0.02769090909090909,0.05Hz,42.457262838789994
45681,,6.909090909090909,0.02948181818181818,7.900361226937,889.7442804363213,0.42400000000000004,0.0296,5.199836363636368,0.02948181818181818,0.0296,0.05Hz,43.12639970630991
45681,,6.909090909090909,0.031336363636363634,8.023312933389745,901.4123973786868,0.42400000000000004,0.0315,5.400090909090931,0.031336363636363634,0.0315,0.05Hz,43.79756704723791
