Date,Time,Test_ID,Experimental,Pressure,dac_bits,mass,slide,time
2025-01-24,21:48:30:723,0,0.0122,7.149180586409169,818.4572376502301,0.424,0.0179,280.9995
2025-01-24,21:48:30:928,0,0.0136,7.218667325242559,825.0515291655189,0.424,0.019,281.2014
2025-01-24,21:48:31:127,0,0.0146,7.273844190368258,830.2878136659477,0.424,0.0199,281.4008
2025-01-24,21:48:31:352,0,0.0156,7.314144333677818,834.1122972660249,0.424,0.0205,281.5995
2025-01-24,21:48:31:525,0,0.0162,7.3389011612583035,836.461720203413,0.424,0.0209,281.799
2025-01-24,21:48:31:735,0,0.0164,7.347302515197534,837.2590086922461,0.424,0.021,282.0013
2025-01-24,21:48:31:925,0,0.0164,7.3388873752528045,731.9843033735614,0.424,0.0209,282.2011
2025-01-24,21:48:32:127,0,0.0163,7.314331255693552,729.695673030639,0.424,0.0205,282.3994
2025-01-24,21:48:32:321,0,0.0164,7.273922446223001,725.9295719879838,0.424,0.0199,282.5988
2025-01-24,21:48:32:547,0,0.0164,7.218047360465865,720.7220139954186,0.424,0.019,282.8006
2025-01-24,21:48:32:723,0,0.0163,7.149644850417876,714.3469000589461,0.424,0.0179,282.9993
2025-01-24,21:48:32:927,0,0.0163,7.068367833117065,706.7718820465105,0.424,0.0167,283.2008
2025-01-24,21:48:33:124,0,0.0164,6.977770259686861,698.3281882028155,0.424,0.0153,283.4012
2025-01-24,21:48:33:325,0,0.0163,6.880550943439008,689.2673479285156,0.424,0.0137,283.5996
2025-01-24,21:48:33:529,0,0.0163,6.776645009053522,679.5833148437882,0.424,0.0121,283.8011
2025-01-24,21:48:33:725,0,0.0159,6.670461545465491,669.6870160373837,0.424,0.0105,284.002
2025-01-24,21:48:33:928,0,0.015,6.5647524826549155,659.8349313834382,0.424,0.0088,284.202
2025-01-24,21:48:34:123,0,0.0143,6.462809837640749,650.3338768681178,0.424,0.0073,284.3997
2025-01-24,21:48:34:327,0,0.0129,6.364715191137877,641.1914558140502,0.424,0.0057,284.6
2025-01-24,21:48:34:527,0,0.0111,6.274043578748728,632.7408615393814,0.424,0.0043,284.8006
2025-01-24,21:48:34:730,0,0.0094,6.193363008921113,625.2214324314477,0.424,0.0031,285.0008
2025-01-24,21:48:34:925,0,0.0078,6.125038024880517,618.8535439188643,0.424,0.002,285.1992
2025-01-24,21:48:35:127,0,0.0065,6.069086305151639,613.6388436401328,0.424,0.0011,285.4012
2025-01-24,21:48:35:322,0,0.0057,6.028845417337477,609.8883928958529,0.424,0.0005,285.5998
2025-01-24,21:48:35:548,0,0.0052,6.0039151780266495,607.5648945920838,0.424,0.0001,285.8017
2025-01-24,21:48:35:727,0,0.0052,5.995733524091406,606.8023644453191,0.424,0.0,286.0005
2025-01-24,21:48:35:926,0,0.0052,6.004055714188587,709.7848872764969,0.424,0.0001,286.2
2025-01-24,21:48:36:126,0,0.0052,6.028783262726215,712.1315316327178,0.424,0.0005,286.3998
2025-01-24,21:48:36:327,0,0.0052,5.995733483811502,606.802360691232,0.424,0.0,286.6013
2025-01-24,21:48:36:527,0,0.0052,5.995733483811502,606.802360691232,0.424,0.0,286.8006
2025-01-24,21:48:36:727,0,0.0051,5.995733483811502,606.802360691232,0.424,0.0,286.9999
2025-01-24,21:48:36:932,0,0.0051,5.995733483811502,606.802360691232,0.424,0.0,287.2
2025-01-24,21:48:37:127,0,0.005,5.995733483811502,606.802360691232,0.424,0.0,287.4011
2025-01-24,21:48:37:326,0,0.005,5.995733483811502,606.802360691232,0.424,0.0,287.5993
2025-01-24,21:48:37:527,0,0.005,5.995733483811502,606.802360691232,0.424,0.0,287.8
2025-01-24,21:48:37:724,0,0.005,5.995733483811502,606.802360691232,0.424,0.0,288.0013
2025-01-24,21:48:37:947,0,0.005,5.995733483811502,606.802360691232,0.424,0.0,288.2008
2025-01-24,21:48:38:150,0,0.0049,5.995733483811502,606.802360691232,0.424,0.0,288.3994
2025-01-24,21:48:38:372,0,0.0049,5.995733483811502,606.802360691232,0.424,0.0,288.5999
2025-01-24,21:48:38:523,0,0.0048,5.995733483811502,606.802360691232,0.424,0.0,288.8003
2025-01-24,21:48:38:730,0,0.0048,5.995733483811502,606.802360691232,0.424,0.0,288.9998
2025-01-24,21:48:38:929,0,0.0048,5.995733483811502,606.802360691232,0.424,0.0,289.2001
2025-01-24,21:48:39:129,0,0.0048,5.995733483811502,606.802360691232,0.424,0.0,289.4008
2025-01-24,21:48:39:327,0,0.0047,5.995733483811502,606.802360691232,0.424,0.0,289.5999
2025-01-24,21:48:39:528,0,0.0048,5.995733483811502,606.802360691232,0.424,0.0,289.8004
2025-01-24,21:48:39:728,0,0.0048,5.995733483811502,606.802360691232,0.424,0.0,290.0017
2025-01-24,21:48:39:928,0,0.0048,5.995733483811502,606.802360691232,0.424,0.0,290.2005
2025-01-24,21:48:40:128,0,0.0047,5.995733483811502,606.802360691232,0.424,0.0,290.4015
2025-01-24,21:48:40:326,0,0.0048,5.995733483811502,606.802360691232,0.424,0.0,290.5999
2025-01-24,21:48:40:524,0,0.0047,5.995733483811502,606.802360691232,0.424,0.0,290.8012
2025-01-24,21:48:40:726,0,0.0047,5.995733483811502,606.802360691232,0.424,0.0,291.0013
2025-01-24,21:48:40:927,0,0.0047,5.995733483811502,606.802360691232,0.424,0.0,291.2
2025-01-24,21:48:41:131,0,0.0047,6.97743817914264,802.1588832006365,0.424,0.0153,291.4019
2025-01-24,21:48:41:329,0,0.0067,6.8790288062436495,689.1254847419082,0.424,0.0137,291.6026
2025-01-24,21:48:41:559,0,0.0073,6.776134115908566,679.5356996026784,0.424,0.0121,291.8021
2025-01-24,21:48:41:728,0,0.0073,6.669975386036284,669.6417059785816,0.424,0.0105,292.0029
2025-01-24,21:48:41:927,0,0.0073,6.565453136110851,659.9002322855314,0.424,0.0089,292.2007
2025-01-24,21:48:42:148,0,0.0073,6.462268534189547,650.2834273864657,0.424,0.0072,292.4008
2025-01-24,21:48:42:328,0,0.0073,6.364153289772579,641.1390866068044,0.424,0.0057,292.6012
2025-01-24,21:48:42:529,0,0.0072,6.273566988429221,632.6964433216034,0.424,0.0043,292.8017
2025-01-24,21:48:42:726,0,0.0072,6.193740826565929,625.2566450359445,0.424,0.0031,292.9998
2025-01-24,21:48:42:929,0,0.0072,6.124836911388535,618.8348001414114,0.424,0.002,293.1999
