Date,Time,Test_ID,Laser experimental,Pressure,dac_bits,mass,Unity theoretical,time,frecuencia,Force
45681,,2.8,0.00108,5.9957432154347226,606.8032676785161,0.42400000000000015,0.0,0.0,0.25Hz,32.72949312287131
45681,,2.8,0.0005533333333333333,6.0580617727924695,714.9100622380053,0.42400000000000015,0.0009533333333333337,0.1987433333333346,0.25Hz,33.069676936817345
45681,,2.8,0.00042,6.135241969320305,715.3902199052354,0.42400000000000015,0.002166666666666667,0.3987533333333335,0.25Hz,33.49098729330106
45681,,2.8,0.00084,6.265097974937514,727.7303529343626,0.42400000000000015,0.00418,0.5986466666666682,0.25Hz,34.199843741968
45681,,2.8,0.0023933333333333333,6.434630592296558,743.8298934363467,0.42400000000000015,0.006813333333333334,0.7986786666666638,0.25Hz,35.125286415975665
45681,,2.8,0.00514,6.627224415147535,762.1107471570182,0.42400000000000015,0.009806666666666665,0.9984573333333352,0.25Hz,36.17661532950912
45681,,2.8,0.0078000000000000005,6.82433828922621,787.6297036475675,0.42400000000000015,0.012866666666666669,1.1985660000000045,0.25Hz,37.252618245957024
45681,,2.8,0.010620000000000001,7.0066940101485935,804.9352615631017,0.42400000000000015,0.01571333333333333,1.3987579999999975,0.25Hz,38.24805952811218
45681,,2.8,0.013019999999999999,7.1557718134981725,819.0827451009765,0.42400000000000015,0.018019999999999998,1.5984366666666678,0.25Hz,39.06184370201447
45681,,2.8,0.015040000000000001,7.2578703998596374,828.7719009466796,0.42400000000000015,0.019620000000000002,1.7987526666666647,0.25Hz,39.619178274244
45681,,2.8,0.01682666666666667,7.302363516194565,832.9942976868642,0.42400000000000015,0.0203,1.9997413333333314,0.25Hz,39.862056778672006
45681,,2.8,0.017720000000000003,7.2851830177026695,733.8923779822886,0.42400000000000015,0.020053333333333333,2.198562666666667,0.25Hz,39.768272073918396
45681,,2.8,0.017953333333333335,7.207834255090266,726.7046503115324,0.42400000000000015,0.01884,2.398467333333338,0.25Hz,39.346041550858594
45681,,2.8,0.017986666666666668,7.077371311119994,714.5624864541434,0.42400000000000015,0.01680666666666666,2.599375333333333,0.25Hz,38.633871954190006
45681,,2.8,0.01772666666666667,6.908344098183515,698.8199991514441,0.42400000000000015,0.014186666666666665,2.798723333333336,0.25Hz,37.7111881759486
45681,,2.8,0.01678666666666667,6.713974449778073,680.7084462457989,0.42400000000000015,0.01116,3.0002200000000063,0.25Hz,36.65016540659379
45681,,2.8,0.01474,6.518760395020143,655.5484688158773,0.42400000000000015,0.008126666666666666,3.1984406666666754,0.25Hz,35.5845332016922
45681,,2.8,0.011426666666666667,6.336574972353372,638.5687874233342,0.42400000000000015,0.005286666666666665,3.3984966666666687,0.25Hz,34.59002154166822
45681,,2.8,0.007633333333333333,6.186784013533068,624.6082700612819,0.42400000000000015,0.0029733333333333348,3.5992093333333375,0.25Hz,33.77234440300144
45681,,2.8,0.003926666666666666,6.085235598808732,615.1439578089739,0.42400000000000015,0.0013800000000000004,3.798626666666674,0.25Hz,33.2180131012868
45681,,2.8,0.0019666666666666665,6.040730297325027,610.9960637106925,0.42400000000000015,0.0007,3.9988173333333403,0.25Hz,32.97506808071079
45681,,2.8,0.0012466666666666665,6.058112839941231,708.0494207596289,0.42400000000000015,0.0009533333333333337,4.199502000000004,0.25Hz,33.06995570157329
45681,,2.8,0.00096,6.13537194972705,715.4024591503814,0.42400000000000015,0.0021533333333333344,4.398802000000005,0.25Hz,33.491696828829156
45681,,2.8,0.00112,6.264912499100788,727.7128309835458,0.42400000000000015,0.00416,4.59855,0.25Hz,34.1988312686341
45681,,2.8,0.00236,6.434650136797648,743.8317269776729,0.42400000000000015,0.006806666666666667,4.798646666666667,0.25Hz,35.12539310527023
45681,,2.8,0.00514,6.627225857305332,762.1108836799793,0.42400000000000015,0.009813333333333332,4.99854666666667,0.25Hz,36.17662320194328
45681,,2.8,0.008,6.824426362609064,787.6380618116002,0.42400000000000015,0.012873333333333336,5.198634666666672,0.25Hz,37.25309901991196
45681,,2.8,0.01068,7.006526815636417,804.9193948038958,0.42400000000000015,0.01571333333333333,5.398580666666671,0.25Hz,38.24714684865947
45681,,2.8,0.013133333333333332,7.155968499249562,819.1014105787837,0.42400000000000015,0.018019999999999998,5.598743333333332,0.25Hz,39.06291736789978
45681,,2.8,0.0151,7.257769437642896,828.7623196323111,0.42400000000000015,0.019620000000000002,5.798659333333342,0.25Hz,39.618627142872995
45681,,2.8,0.01676666666666667,7.302348027211916,832.9928277824109,0.42400000000000015,0.0203,5.998686000000001,0.25Hz,39.8619722275942
45681,,2.8,0.01772,7.28525062319238,733.8988233372203,0.42400000000000015,0.020053333333333333,6.198710666666669,0.25Hz,39.768641117977
45681,,2.8,0.01794,7.207610678518735,726.6838066335035,0.42400000000000015,0.01884,6.398814000000003,0.25Hz,39.344821093677986
45681,,2.8666666666666667,0.01795333333333333,7.077672656981364,714.5905916024111,0.42400000000000015,0.01681333333333333,6.599064000000002,0.25Hz,38.635516937462796
45681,,2.8666666666666667,0.017746666666666668,6.908052699871207,698.7928567745502,0.42400000000000015,0.014166666666666666,6.799060666666672,0.25Hz,37.70959749424059
45681,,2.8666666666666667,0.016886666666666664,6.714986045236466,680.8027262991739,0.42400000000000015,0.011173333333333332,6.999383333333335,0.25Hz,36.655687492081604
45681,,2.8666666666666667,0.014833333333333334,6.518665298613585,655.5396058307863,0.42400000000000015,0.008133333333333333,7.19853533333333,0.25Hz,35.5840140905374
