Date,Time,Test_ID,Laser experimental,Pressure,dac_bits,mass,Unity theoretical,time,frecuencia,Force,slide_1,Experimental_1
45681,,3.4166666666666665,0.0057,6.098965910616136,624.9443857559795,0.4240000000000001,0.0016,8.033235833333334,0.125Hz,33.29296396721423,0.0016,0.0057
45681,,3.4166666666666665,0.005125,6.084249884345577,683.1992725212834,0.4240000000000001,0.0013499999999999996,8.232560833333334,0.125Hz,33.21263229467389,0.0013499999999999996,0.005125
45681,,3.4166666666666665,0.004658333333333334,6.083916388092901,683.200641442036,0.4240000000000001,0.0013666666666666669,8.433040833333335,0.125Hz,33.21081180922008,0.0013666666666666669,0.004658333333333334
45681,,3.4166666666666665,0.004341666666666667,6.098050151940051,693.0851352595449,0.4240000000000001,0.0015833333333333333,8.632534999999997,0.125Hz,33.28796503443572,0.0015833333333333333,0.004341666666666667
45681,,3.4166666666666665,0.004108333333333333,6.126390527892297,695.7965225222879,0.4240000000000001,0.002016666666666667,8.83286333333333,0.125Hz,33.44266914808769,0.002016666666666667,0.004108333333333333
45681,,3.4166666666666665,0.003866666666666667,6.168209516401678,708.2983490630239,0.4240000000000001,0.0026916666666666664,9.033302499999998,0.125Hz,33.670950154735834,0.0026916666666666664,0.003866666666666667
45681,,3.4166666666666665,0.00375,6.222250863733137,713.440057547381,0.4240000000000001,0.003491666666666666,9.232677499999996,0.125Hz,33.96595043114568,0.003491666666666666,0.00375
45681,,3.4166666666666665,0.003666666666666667,6.287583689489299,719.6491031776162,0.4240000000000001,0.004525,9.432865000000005,0.125Hz,34.32258849826293,0.004525,0.003666666666666667
45681,,3.4166666666666665,0.0037916666666666667,6.361908217152003,735.22438325366,0.4240000000000001,0.0057,9.632421666666671,0.125Hz,34.72831036285762,0.0057,0.0037916666666666667
45681,,3.4166666666666665,0.004075,6.444324281194146,743.049124425662,0.4240000000000001,0.0069833333333333344,9.832509166666668,0.125Hz,35.178202211851,0.0069833333333333344,0.004075
45681,,3.4166666666666665,0.0046,6.532184899670565,751.3882847294902,0.4240000000000001,0.008324999999999999,10.032681666666667,0.125Hz,35.65781473107839,0.008324999999999999,0.0046
45681,,3.4166666666666665,0.005441666666666667,6.623536692643964,768.5736321319122,0.4240000000000001,0.009766666666666668,10.232740833333336,0.125Hz,36.15648483292465,0.009766666666666668,0.005441666666666667
45681,,3.4166666666666665,0.006633333333333334,6.715858440559039,777.3349660090529,0.4240000000000001,0.011183333333333335,10.432595833333336,0.125Hz,36.6604497134918,0.011183333333333335,0.006633333333333334
45681,,3.4166666666666665,0.00805,6.807238131925128,786.0068987196946,0.4240000000000001,0.012616666666666667,10.632604166666663,0.125Hz,37.159272106758635,0.012616666666666667,0.00805
45681,,3.4166666666666665,0.009233333333333331,6.8952473253812565,794.3589711786813,0.4240000000000001,0.013991666666666666,10.832586666666662,0.125Hz,37.63969566535211,0.013991666666666666,0.009233333333333331
45681,,3.4166666666666665,0.010391666666666667,6.977829657772806,802.1960345226394,0.4240000000000001,0.01525,11.032689999999997,0.125Hz,38.090495138071674,0.01525,0.010391666666666667
45681,,3.4166666666666665,0.011725000000000001,7.068876323847827,810.8363631331587,0.4240000000000001,0.016675,11.299603333333335,0.125Hz,38.587499616764426,0.016675,0.011725000000000001
45681,,3.4166666666666665,0.01285,7.1297967564830556,816.617712190242,0.4240000000000001,0.017641666666666667,11.50061,0.125Hz,38.92005136378458,0.017641666666666667,0.01285
