Date,Time,Test_ID,Laser experimental,Pressure,dac_bits,mass,Unity theoretical,time,slide_1,Experimental_1,frecuencia,Force
45684,,25.75,0.050774999999999994,13.75382326538785,1351.856328334147,4.741000000000001,0.0,0.0,0.0,0.050774999999999994,0.05Hz,75.07921000000005
45684,,25.75,0.043774999999999994,13.75382326538785,1351.856328334147,4.741000000000001,0.0,0.19700000000000273,0.0,0.043774999999999994,0.05Hz,75.07921000000005
45684,,25.75,0.0243,13.75382326538785,1351.856328334147,4.741000000000001,0.0,0.3983249999999998,0.0,0.0243,0.05Hz,75.07921000000005
45684,,25.75,0.0057,13.75382326538785,1351.856328334147,4.741000000000001,0.0,0.5980749999999944,0.0,0.0057,0.05Hz,75.07921000000005
45684,,25.75,0.003,13.75382326538785,1351.856328334147,4.741000000000001,0.0,0.7987499999999841,0.0,0.003,0.05Hz,75.07921000000005
45684,,25.75,0.003,13.75382326538785,1351.856328334147,4.741000000000001,0.0,0.9989749999999873,0.0,0.003,0.05Hz,75.07921000000005
45684,,25.75,0.003,13.75382326538785,1351.856328334147,4.741000000000001,0.0,1.1985999999999848,0.0,0.003,0.05Hz,75.07921000000005
45684,,25.75,0.003,13.75382326538785,1351.856328334147,4.741000000000001,0.0,1.3995749999999987,0.0,0.003,0.05Hz,75.07921000000005
45684,,25.75,0.003,13.75382326538785,1351.856328334147,4.741000000000001,0.0,1.5974999999999824,0.0,0.003,0.05Hz,75.07921000000005
45684,,25.75,0.003,13.75382326538785,1351.856328334147,4.741000000000001,0.0,1.7976999999999919,0.0,0.003,0.05Hz,75.07921000000005
45684,,25.75,0.003,13.75382326538785,1351.856328334147,4.741000000000001,0.0,2.001224999999991,0.0,0.003,0.05Hz,75.07921000000005
45684,,25.75,0.003,13.75382326538785,1351.856328334147,4.741000000000001,0.0,2.199549999999988,0.0,0.003,0.05Hz,75.07921000000005
45684,,25.75,0.003,13.75382326538785,1351.856328334147,4.741000000000001,0.0,2.398549999999986,0.0,0.003,0.05Hz,75.07921000000005
45684,,25.75,0.003,13.75382326538785,1351.856328334147,4.741000000000001,0.0,2.597699999999989,0.0,0.003,0.05Hz,75.07921000000005
45684,,25.75,0.003,13.75382326538785,1351.856328334147,4.741000000000001,0.0,2.8003249999999866,0.0,0.003,0.05Hz,75.07921000000005
45684,,25.75,0.003,13.75382326538785,1351.856328334147,4.741000000000001,0.0,2.9964749999999896,0.0,0.003,0.05Hz,75.07921000000005
45684,,25.75,0.003,13.75382326538785,1351.856328334147,4.741000000000001,0.0,3.1991999999999905,0.0,0.003,0.05Hz,75.07921000000005
45684,,25.75,0.003,13.75382326538785,1351.856328334147,4.741000000000001,0.0,3.3969999999999914,0.0,0.003,0.05Hz,75.07921000000005
45684,,25.75,0.003,13.75382326538785,1351.856328334147,4.741000000000001,0.0,3.597875000000002,0.0,0.003,0.05Hz,75.07921000000005
45684,,25.75,0.003,13.75382326538785,1351.856328334147,4.741000000000001,0.0,3.799449999999993,0.0,0.003,0.05Hz,75.07921000000005
45684,,25.75,0.003,13.75382326538785,1351.856328334147,4.741000000000001,0.0,4.00024999999998,0.0,0.003,0.05Hz,75.07921000000005
45684,,25.75,0.003,13.75382326538785,1351.856328334147,4.741000000000001,0.0,4.198650000000001,0.0,0.003,0.05Hz,75.07921000000005
45684,,25.75,0.003,13.75382326538785,1351.856328334147,4.741000000000001,0.0,4.398474999999991,0.0,0.003,0.05Hz,75.07921000000005
45684,,25.75,0.003,13.75382326538785,1351.856328334147,4.741000000000001,0.0,4.599125000000001,0.0,0.003,0.05Hz,75.07921000000005
45684,,25.75,0.003,13.75382326538785,1351.856328334147,4.741000000000001,0.0,4.796850000000006,0.0,0.003,0.05Hz,75.07921000000005
45684,,25.75,0.003,13.75382326538785,1351.856328334147,4.741000000000001,0.0,4.99922500000001,0.0,0.003,0.05Hz,75.07921000000005
45684,,25.75,0.003,13.75382326538785,1351.856328334147,4.741000000000001,0.0,5.199525000000008,0.0,0.003,0.05Hz,75.07921000000005
45684,,25.75,0.003,13.75382326538785,1351.856328334147,4.741000000000001,0.0,5.397475,0.0,0.003,0.05Hz,75.07921000000005
45684,,25.75,0.003,13.75382326538785,1351.856328334147,4.741000000000001,0.0,5.596999999999994,0.0,0.003,0.05Hz,75.07921000000005
45684,,25.75,0.003,13.75382326538785,1351.856328334147,4.741000000000001,0.0,5.797824999999989,0.0,0.003,0.05Hz,75.07921000000005
45684,,25.75,0.003,13.75382326538785,1351.856328334147,4.741000000000001,0.0,5.998899999999978,0.0,0.003,0.05Hz,75.07921000000005
45684,,25.75,0.003,13.75382326538785,1351.856328334147,4.741000000000001,0.0,6.198249999999987,0.0,0.003,0.05Hz,75.07921000000005
45684,,25.75,0.003,13.75382326538785,1351.856328334147,4.741000000000001,0.0,6.397475,0.0,0.003,0.05Hz,75.07921000000005
45684,,25.75,0.003,13.75382326538785,1351.856328334147,4.741000000000001,0.0,6.596974999999986,0.0,0.003,0.05Hz,75.07921000000005
45684,,25.75,0.003,13.75382326538785,1351.856328334147,4.741000000000001,0.0,6.796449999999993,0.0,0.003,0.05Hz,75.07921000000005
45684,,25.75,0.003,13.75382326538785,1351.856328334147,4.741000000000001,0.0,6.997074999999995,0.0,0.003,0.05Hz,75.07921000000005
45684,,25.75,0.003,13.75382326538785,1351.856328334147,4.741000000000001,0.0,7.197500000000005,0.0,0.003,0.05Hz,75.07921000000005
45684,,25.75,0.003,13.75382326538785,1351.856328334147,4.741000000000001,0.0,7.397149999999996,0.0,0.003,0.05Hz,75.07921000000005
